Date,7/16/2018
Spectrometer,FLMS02587
Lamp SN,F1401
Int. Time(usec),350000
Average,0
Boxcar,0
Fiber (micron),7140
,
[uJoule/count],
544.3296,1.06E-05
544.6871,1.06E-05
545.0446,1.06E-05
545.402,1.06E-05
545.7594,1.06E-05
546.1167,1.06E-05
546.474,1.06E-05
546.8312,1.06E-05
547.1884,1.06E-05
547.5455,1.06E-05
547.9026,1.06E-05
548.2597,1.06E-05
548.6167,1.06E-05
548.9736,1.06E-05
549.3305,1.06E-05
549.6874,1.06E-05
550.0442,1.06E-05
550.401,1.06E-05
550.7577,1.05E-05
551.1144,1.05E-05
551.4711,1.05E-05
551.8277,1.05E-05
552.1842,1.05E-05
552.5407,1.05E-05
552.8972,1.05E-05
553.2536,1.05E-05
553.61,1.05E-05
553.9663,1.05E-05
554.3226,1.05E-05
554.6788,1.05E-05
555.035,1.05E-05
555.3911,1.05E-05
555.7472,1.05E-05
556.1032,1.05E-05
556.4593,1.05E-05
556.8152,1.05E-05
557.1711,1.05E-05
557.527,1.05E-05
557.8828,1.05E-05
558.2386,1.05E-05
558.5943,1.05E-05
558.95,1.05E-05
559.3056,1.05E-05
559.6612,1.05E-05
560.0168,1.05E-05
560.3723,1.05E-05
560.7277,1.05E-05
561.0831,1.05E-05
561.4385,1.05E-05
561.7938,1.05E-05
562.1491,1.05E-05
562.5043,1.05E-05
562.8595,1.05E-05
563.2146,1.05E-05
563.5697,1.05E-05
563.9248,1.05E-05
564.2798,1.05E-05
564.6347,1.05E-05
564.9896,1.05E-05
565.3445,1.05E-05
565.6993,1.05E-05
566.054,1.04E-05
566.4088,1.04E-05
566.7634,1.04E-05
567.1181,1.04E-05
567.4727,1.04E-05
567.8272,1.04E-05
568.1817,1.04E-05
568.5361,1.04E-05
568.8905,1.04E-05
569.2449,1.04E-05
569.5992,1.04E-05
569.9535,1.04E-05
570.3077,1.04E-05
570.6618,1.04E-05
571.016,1.04E-05
571.37,1.04E-05
571.7241,1.04E-05
572.0781,1.04E-05
572.432,1.04E-05
572.7859,1.04E-05
573.1397,1.04E-05
573.4935,1.04E-05
573.8473,1.04E-05
574.201,1.04E-05
574.5547,1.04E-05
574.9083,1.04E-05
575.2618,1.04E-05
575.6154,1.04E-05
575.9688,1.04E-05
576.3223,1.04E-05
576.6757,1.05E-05
577.029,1.05E-05
577.3823,1.05E-05
577.7355,1.05E-05
578.0887,1.05E-05
578.4419,1.05E-05
578.795,1.05E-05
579.1481,1.05E-05
579.5011,1.05E-05
579.854,1.05E-05
580.207,1.05E-05
580.5598,1.06E-05
580.9127,1.06E-05
581.2654,1.06E-05
581.6182,1.06E-05
581.9709,1.06E-05
582.3235,1.06E-05
582.6761,1.06E-05
583.0287,1.07E-05
583.3812,1.07E-05
583.7336,1.07E-05
584.086,1.07E-05
584.4384,1.07E-05
584.7907,1.07E-05
585.143,1.08E-05
585.4952,1.08E-05
585.8474,1.08E-05
586.1995,1.08E-05
586.5516,1.08E-05
586.9037,1.09E-05
587.2556,1.09E-05
587.6076,1.09E-05
587.9595,1.09E-05
588.3113,1.10E-05
588.6632,1.10E-05
589.0149,1.10E-05
589.3666,1.10E-05
589.7183,1.11E-05
590.0699,1.11E-05
590.4215,1.11E-05
590.773,1.11E-05
591.1245,1.12E-05
591.4759,1.12E-05
