Wavelength (nm),Counts
650.875,35076.01
651.218,35115.73
651.562,34636.68
651.905,33909.42
652.248,33899.49
652.591,33785.32
652.934,33264.08
653.277,33477.54
653.62,33256.63
653.963,33038.2
654.305,32380.45
654.648,32819.78
654.991,32380.45
655.334,31884.03
655.676,31829.42
656.019,31543.98
656.361,31323.07
656.704,31231.23
657.046,30675.24
657.389,31005.36
657.731,30446.89
658.073,30221.02
658.415,30156.48
658.757,29714.67
659.1,29277.82
659.442,29213.28
659.784,29203.35
660.126,29037.05
660.468,28771.47
660.809,28270.08
661.151,28441.35
661.493,28257.67
661.835,27753.8
662.177,27728.98
662.518,27483.26
662.86,26845.35
663.201,26971.94
663.543,26594.66
663.884,26453.18
664.226,26505.31
664.567,25946.83
664.908,25852.51
665.249,25475.23
665.591,25572.03
665.932,25271.7
666.273,24926.69
666.614,24939.1
666.955,24581.68
667.296,24685.92
667.637,24201.91
667.978,24010.79
668.318,23797.33
668.659,23707.97
669,23879.24
669.341,22973.27
669.681,23189.21
670.022,22725.06
670.362,22690.31
670.703,22543.87
671.043,22392.46
671.383,22035.04
671.724,21771.93
672.064,21555.99
672.404,21459.19
672.744,21183.67
673.085,21129.07
673.425,20992.55
673.765,20697.18
674.105,20448.97
674.444,20376.99
674.784,20364.58
675.124,20071.69
675.464,19642.29
675.804,19384.15
676.143,19307.2
676.483,19029.21
676.823,19170.69
677.162,18979.57
677.501,18577.46
677.841,18381.38
678.18,18396.27
678.52,18004.1
678.859,18088.49
679.198,17659.09
679.537,17708.73
679.876,17304.15
680.215,17003.81
680.555,17016.22
680.894,16827.58
681.232,16867.29
681.571,16465.19
681.91,16410.59
682.249,15968.77
682.588,16023.38
682.926,15765.24
683.265,15335.84
683.604,15507.1
683.942,15450.01
684.281,15343.28
684.619,14891.54
684.957,14747.58
685.296,14638.37
685.634,14611.06
685.972,14551.49
686.31,14261.09
686.649,13806.86
686.987,13891.25
687.325,13590.92
687.663,13441.99
688.001,13707.58
688.338,13044.85
688.676,13121.8
689.014,12970.39
689.352,12945.57
689.69,12662.61
690.027,12652.68
690.365,12449.15
690.702,12461.56
691.04,12260.51
691.377,12153.78
691.715,12223.28
692.052,11843.52
692.389,11910.53
692.726,11664.8
693.064,11831.11
693.401,11448.86
693.738,11595.31
694.075,11366.95
694.412,11481.13
694.749,11391.77
695.086,11235.4
695.423,11242.85
695.759,11098.88
696.096,11046.76
696.433,11230.44
696.769,11158.46
697.106,10813.44
697.443,10830.82
697.779,10999.6
698.116,10947.48
698.452,10915.21
698.788,10803.51
699.125,10850.67
699.461,10632.25
699.797,10577.64
700.133,10644.66
700.469,10748.91
700.805,10627.28
701.141,10582.61
701.477,10560.27
701.813,10917.69
702.149,10696.78
702.485,11007.05
702.82,10820.89
703.156,11074.06
703.492,10890.39
703.827,10907.76
704.163,11059.17
704.498,11282.56
704.834,11220.51
705.169,11118.74
705.505,11540.7
705.84,11312.35
706.175,11230.44
706.51,11424.04
706.845,11580.41
707.18,11761.61
707.515,11726.86
707.85,11970.1
708.185,11635.02
708.52,11945.28
708.855,12151.3
709.19,12342.42
709.525,12434.26
709.859,12449.15
710.194,12774.3
710.529,13084.57
710.863,12933.16
711.198,13032.44
711.532,13377.46
711.866,13298.03
712.201,13556.17
712.535,13531.35
712.869,13799.41
713.203,14213.93
713.537,14298.32
713.872,14526.67
714.206,14633.4
714.54,14817.08
714.873,14985.86
715.207,15301.09
715.541,15544.33
715.875,15745.38
716.209,16130.11
716.542,16442.86
716.876,16467.68
717.21,16599.23
717.543,17180.04
717.877,17130.4
718.21,17907.3
718.543,18227.49
718.877,18361.52
719.21,18597.32
719.543,18428.54
719.876,19255.08
720.209,19840.86
720.542,20126.3
720.875,20205.73
721.208,20712.07
721.541,20746.82
721.874,21223.39
722.207,21521.24
722.54,22042.48
722.872,22131.84
723.205,22730.03
723.538,23276.09
723.87,23484.59
724.203,23854.42
724.535,24608.98
724.868,24390.55
725.2,25080.58
725.532,25393.32
725.865,25361.06
726.197,26279.43
726.529,26353.9
726.861,27185.4
727.193,27282.2
727.525,27706.64
727.857,28066.55
728.189,28272.56
728.521,28739.2
728.853,28915.43
729.184,28865.79
729.516,29481.35
729.848,30007.56
730.179,29898.34
730.511,29935.57
730.842,29781.68
731.174,30119.25
731.505,29856.15
731.836,29895.86
732.168,29449.08
732.499,29759.34
732.83,29575.67
733.161,29190.94
733.492,28942.73
733.823,28495.95
734.154,27935
734.485,27818.34
734.816,26837.91
735.147,26698.91
735.478,25989.03
735.808,25405.73
736.139,24606.5
736.47,24355.8
736.8,23392.75
737.131,22754.85
737.461,22119.43
737.792,21372.31
738.122,20900.71
738.452,20175.94
738.782,19200.47
739.113,19076.37
739.443,18063.67
739.773,17798.08
740.103,17137.84
740.433,16857.37
740.763,15961.33
741.093,15618.8
741.423,15244
741.752,14705.38
742.082,14335.55
742.412,14032.73
742.742,13796.93
743.071,13315.4
743.401,13240.94
743.73,12831.39
744.06,12789.2
744.389,12553.4
744.718,12004.85
745.048,12136.4
745.377,11776.5
745.706,11726.86
746.035,11602.75
746.364,11354.54
746.693,11354.54
747.022,11235.4
747.351,11175.83
747.68,11064.14
748.009,11237.88
748.338,11128.67
748.666,11014.49
748.995,11123.71
749.323,11220.51
749.652,11237.88
749.981,11103.85
750.309,11071.58
750.637,10992.15
750.966,10932.58
751.294,11396.74
751.622,11260.22
751.95,11314.83
752.279,11523.32
752.607,11215.54
752.935,11525.81
753.263,11488.57
753.591,11729.34
753.919,11838.55
754.246,11595.31
754.574,11922.94
754.902,11955.21
755.23,12267.96
755.557,11940.32
755.885,12161.23
756.212,12186.05
756.54,12590.63
756.867,12523.61
757.195,12816.5
757.522,12836.36
757.849,12987.77
758.176,12972.87
758.503,12799.13
758.831,13352.64
759.158,13010.1
759.485,13449.44
759.812,13546.24
760.138,13469.29
760.465,13536.31
760.792,13702.61
761.119,13685.24
761.446,13791.97
761.772,13744.81
762.099,14025.29
762.425,14045.14
762.752,14015.36
763.078,13970.68
763.405,14099.75
763.731,14022.8
764.057,14141.94
764.383,13764.66
764.71,14228.82
765.036,14213.93
765.362,14362.85
765.688,14050.11
766.014,14020.32
766.34,14238.75
766.665,13993.02
766.991,14072.45
767.317,13911.11
767.643,13990.54
767.968,13846.57
768.294,13801.9
768.619,13916.07
768.945,13389.87
769.27,13563.61
769.596,13635.6
769.921,13345.19
770.246,13238.46
770.572,12831.39
770.897,13027.48
771.222,12893.45
771.547,12714.73
771.872,12496.31
772.197,12431.77
772.522,12322.56
772.847,12141.37
773.171,12076.83
773.496,11927.91
773.821,11791.39
774.146,11463.75
774.47,11535.73
774.795,11265.19
775.119,11002.08
775.444,11049.24
775.768,10597.5
776.092,10344.32
776.417,10205.33
776.741,10178.02
777.065,10001.79
777.389,9865.28
777.713,9440.84
778.037,9341.55
778.361,9155.4
778.685,8718.55
779.009,8582.03
779.333,8532.39
